timestamp_utc	decision	why	evidence	result
2026-09-01T12:58:00Z	Accept corrected profile evidence	The isolated generic and cycle modules must match independently authored output and compile across both first-class profiles	background-priority yarn test:genes-ts:snapshots and yarn test:classic:dts after fixture split	TypeScript snapshots passed in 133.93s; classic declarations and TypeScript 5.5/6/7 consumers passed in 146.39s
2026-09-01T12:58:00Z	Carry the measured implementation into production	The measured Boolean experiment and repository patch must execute the same search and cache algorithm	diff between profiled pinned-json-cache-src/genes/JsonTypeSupport.hx and repository source	Only HaxeDoc and formatter whitespace differ in JsonTypeQuery; the 290,036-call count and exact 220-file production equality apply to this implementation
2026-09-01T13:05:00Z	Classify intentional JSON fixture indexes	The snapshot owner did not run the complete genes-ts exported-surface audit, so hosted next-LTS correctly rejected the new JsonObject string indexes as unowned	PR 193 run 33510796718 job 99865684155; genes-ts-basic fixture-boundary diagnostics	Add exact-file fixture-boundary classifications with the same closed-JsonValue reason as the classic owner; rerun test:genes-ts
2026-09-01T13:08:23Z	Accept the corrected full TypeScript owner	The exact hosted failure must pass its exported-surface, target-check, runtime, repro, and packaging path after the narrow classification	yarn test:genes-ts at background priority	Passed in 334.51s; new recursive-generic and cycle runtime observers plus TypeScript 5.5/6/7 and downstream repros remained green
2026-09-01T13:21:00Z	Close the generic-abstract evidence gap	The cache has separate TAbstract and TType branches, but the original isolated red proved only differently applied typedefs	PR 191 control plus JsonAbstractDefinitionMemo; focused TypeScript 6	Control emitted three unresolved JSON alias names and TS2304 three times; PR 193 emitted the complete alias family and the same focused command passed
2026-09-01T13:22:00Z	Accept the exact-source abstract snapshot	The generic-abstract tracer must remain isolated from the typedef tracer so one module cannot authorize the other	exact-source background-priority yarn test:genes-ts:snapshots through a Haxe wrapper that appends this worktree src	Passed; generated JsonAbstractDefinitionMemo matches the reviewed snapshot and no unrelated snapshot changed beyond Main source lines
2026-09-01T13:23:00Z	Accept the architecture-ledger review finding	The cache identity, module lifetime, cycle false rule, and focused owners must remain reviewable without commit history	exact-head review thread r3904502300; src/genes/AGENTS.md; docs/ARCHITECTURE.md state-owner ledger	Add one JsonTypeQuery ledger row and rerun documentation and compiler owners before resolving the thread
2026-09-01T13:25:00Z	Accept post-review local gates	The architecture entry and generic-abstract tracer must preserve snapshots, strict exported surfaces, runtime output, and structural output budgets	exact-source background-priority yarn test:genes-ts:snapshots; yarn test:genes-ts; yarn test:output-quality	All three passed with pinned Node 26.1.0; focused TypeScript 6 also accepts the generated abstract tracer
2026-09-01T20:48:00Z	Preserve the reviewed optimization while rebasing onto the final JSON module-cache head	The declaration-result cache is one dependent semantic contract and must not change while its parent history moves	git patch-id matched old 78a01123 to rebased d9cdec75	Implementation, fixtures, architecture record, and prior exact-source evidence remain equivalent
2026-09-01T20:48:00Z	Accept compiler-server equivalence	The prior contended timeout was inconclusive; this isolated unchanged rerun completed every lifecycle and failure-recovery owner without weakening the 60-second child bound	nice -n 10 yarn test:compiler-server passed with Haxe 4.3.7 in 146.09s	Cold/warm profiles, overrides, witnesses, edits, projects, rollback, capability, and cleanup are green
2026-09-04T13:04:30Z	Rebase only the declaration-cache contract onto merged main	PR 191 merged as one squash, so replaying the old stack would duplicate unrelated performance history	git range-diff 1eb0456d..32225f79 origin/main..b4e8f4fc; one architecture-ledger conflict	Replayed the two PR-specific commits; retained the merged Module JSON-cache row and added the independent JsonTypeQuery row
2026-09-04T13:04:30Z	Accept rebased focused and structural evidence	The merged module cache and declaration cache must compose without changing either generated profile	background-priority snapshots, classic declarations, and output-quality gates	Snapshots passed in 177.19s; classic TypeScript 5.5/6/7 consumers passed in 153.70s; output quality retained 57-module 689d13da7917 and 120-module b637963c4c78 fingerprints
2026-09-04T13:04:30Z	Classify the contended compiler-server timeout as its existing harness task	The matrix advanced through many scenarios before one successful warm client exceeded the fixed deadline while unrelated Haxe builds shared CPU	Warm a-explicit-witness-int timed out after 60000ms with empty output; no owned process leaked; focused explicit-type-arguments passed in 198.23s	Recorded on genes-f8vc.9.10; do not broaden the declaration-cache contract or weaken the lifecycle assertion in this PR
2026-09-04T13:46:08Z	Accept review finding on timing evidence	One contended base sample and one contended head sample cannot establish latency or variance, even when the deterministic work counter falls sharply	exact-head P1 review on fd6d4dd8; n=1 per revision; no variance sample	Limit the performance claim to 1,404,269 to 290,036 recursive calls and byte-identical output; retain wall observations only as explicitly non-conclusive context
